No.,Time,Source,Destination,Protocol,Protocol,Protocol,Protocol,,,time 1,time 2,delay,,delay 1,delay 2,jitter 
1,0,35.213.109.249,192.168.43.13,TCP,TCP,TCP,TCP,,,0,0.00012,0.00012,,-0.00004,0.00016,0.0002
2,0.00012,192.168.43.13,35.213.109.249,TCP,TCP,TCP,TCP,,,0.00012,0.00028,0.00016,,-0.00003,0.00019,0.00022
3,0.00028,35.213.109.249,192.168.43.13,TCP,TCP,TCP,TCP,,,0.00028,0.00047,0.00019,,-0.22339,0.22357,0.44696
4,0.00047,192.168.43.13,35.213.109.249,TCP,TCP,TCP,TCP,,,0.00047,0.22405,0.22357,,0.16406,0.05952,-0.10454
5,0.22405,192.168.43.13,69.171.250.15,TCP,TCP,TCP,TCP,,,0.22405,0.28356,0.05952,,0.05936,0.00016,-0.0592
6,0.28356,18.141.44.70,192.168.43.13,TCP,TCP,TCP,TCP,,,0.28356,0.28372,0.00016,,0,0.00016,0.00016
7,0.28372,192.168.43.13,18.141.44.70,TCP,TCP,TCP,TCP,,,0.28372,0.28388,0.00016,,0.0001,0.00006,-0.00003
8,0.28388,18.141.44.70,192.168.43.13,TCP,TCP,TCP,TCP,,,0.28388,0.28395,0.00006,,-0.08734,0.0874,0.17474
9,0.28395,192.168.43.13,18.141.44.70,TCP,TCP,TCP,TCP,,,0.28395,0.37135,0.0874,,-0.05308,0.14048,0.19356
10,0.37135,69.171.250.15,192.168.43.13,TCP,TCP,TCP,TCP,,,0.37135,0.51183,0.14048,,-0.01966,0.16014,0.1798
11,0.51183,192.168.43.13,204.246.164.81,TCP,TCP,TCP,TCP,,,0.51183,0.67197,0.16014,,-0.39959,0.55973,0.95931
12,0.67197,204.246.164.81,192.168.43.13,TCP,TCP,TCP,TCP,,,0.67197,1.2317,0.55973,,0.55449,0.00524,-0.54925
13,1.2317,192.168.43.13,74.125.68.95,TCP,TCP,TCP,TCP,,,1.2317,1.23693,0.00524,,0.00524,0,-0.00524
14,1.23693,35.213.120.246,192.168.43.13,TCP,TCP,TCP,TCP,,,1.23693,1.23693,0,,-0.00012,0.00012,0.00024
15,1.23693,35.213.120.246,192.168.43.13,TCP,TCP,TCP,TCP,,,1.23693,1.23705,0.00012,,-0.00005,0.00016,0.00021
16,1.23705,192.168.43.13,35.213.120.246,TCP,TCP,TCP,TCP,,,1.23705,1.23722,0.00016,,-0.1717,0.17187,0.34357
17,1.23722,192.168.43.13,35.213.120.246,TCP,TCP,TCP,TCP,,,1.23722,1.40908,0.17187,,-0.12066,0.29253,0.41319
18,1.40908,74.125.68.95,192.168.43.13,TCP,TCP,TCP,TCP,,,1.40908,1.70161,0.29253,,0.29206,0.00047,-0.2916
19,1.70161,104.26.11.25,192.168.43.13,TLSv1.2,TLSv1.3,TLSv1.4,TLSv1.5,,,1.70161,1.70208,0.00047,,0.00047,0,-0.00047
